date,name,value
2025-08-15,"Chemicals and related products, n.e.s.",4.6726
2025-08-15,Commodities and transactions not classified elsewhere in the SITC,-0.5103
2025-08-15,"Food, drinks and tobacco",1.0192999999999999
2025-08-15,Machinery and transport equipment,3.1635
2025-08-15,Manufactured goods,13.998399999999998
2025-08-15,"Mineral fuels, lubricants and related materials",-4.9669
2025-08-15,Raw materials,-0.4085
2025-09-15,"Chemicals and related products, n.e.s.",14.6516
2025-09-15,Commodities and transactions not classified elsewhere in the SITC,-0.519
2025-09-15,"Food, drinks and tobacco",1.2792999999999999
2025-09-15,Machinery and transport equipment,7.9049
2025-09-15,Manufactured goods,30.073500000000003
2025-09-15,"Mineral fuels, lubricants and related materials",-5.0685
2025-09-15,Raw materials,-0.4162
2025-10-15,"Chemicals and related products, n.e.s.",4.0626
2025-10-15,Commodities and transactions not classified elsewhere in the SITC,-0.3195
2025-10-15,"Food, drinks and tobacco",1.3922999999999999
2025-10-15,Machinery and transport equipment,6.7966999999999995
2025-10-15,Manufactured goods,20.389499999999998
2025-10-15,"Mineral fuels, lubricants and related materials",-5.050800000000001
2025-10-15,Raw materials,-0.5215
2025-11-15,"Chemicals and related products, n.e.s.",4.0015
2025-11-15,Commodities and transactions not classified elsewhere in the SITC,-0.5616
2025-11-15,"Food, drinks and tobacco",1.1248
2025-11-15,Machinery and transport equipment,6.7803
2025-11-15,Manufactured goods,19.1009
2025-11-15,"Mineral fuels, lubricants and related materials",-4.132
2025-11-15,Raw materials,-0.6411
