country,name,value,fill,sum
Pakistan,Rockets/Artillery,0,Non-European country,65.5709
Pakistan,Transport aircraft,0,Non-European country,65.5709
Pakistan,UAVs,0,Non-European country,65.5709
Belgium,AV & Ground systems,0,EU Member State,31.2802
Belgium,Air Defences,0,EU Member State,31.2802
Belgium,Anti-armour,0,EU Member State,31.2802
Belgium,"Bombs, Munitions & Projectiles",0,EU Member State,31.2802
Belgium,C3 & Electronics,0,EU Member State,31.2802
Belgium,Combat aircraft,0,EU Member State,31.2802
Belgium,"Construction, Logistics & Services",0,EU Member State,31.2802
Belgium,Helicopters,0,EU Member State,31.2802
Belgium,Light weapons,0,EU Member State,31.2802
Belgium,Missiles,0.6467999999999999,EU Member State,31.2802
Belgium,Naval systems,0,EU Member State,31.2802
Belgium,Radars & sensors,0,EU Member State,31.2802
Belgium,Rockets/Artillery,0,EU Member State,31.2802
Belgium,Transport aircraft,0,EU Member State,31.2802
Belgium,UAVs,0,EU Member State,31.2802
Bulgaria,AV & Ground systems,0,EU Member State,31.2802
Bulgaria,Air Defences,0,EU Member State,31.2802
Bulgaria,Anti-armour,0,EU Member State,31.2802
Bulgaria,"Bombs, Munitions & Projectiles",0,EU Member State,31.2802
Bulgaria,C3 & Electronics,0,EU Member State,31.2802
Bulgaria,Combat aircraft,0,EU Member State,31.2802
Bulgaria,"Construction, Logistics & Services",0,EU Member State,31.2802
Bulgaria,Helicopters,0,EU Member State,31.2802
Bulgaria,Light weapons,0,EU Member State,31.2802
Bulgaria,Missiles,0,EU Member State,31.2802
Bulgaria,Naval systems,0.62,EU Member State,31.2802
Bulgaria,Radars & sensors,0,EU Member State,31.2802
Bulgaria,Rockets/Artillery,0,EU Member State,31.2802
Bulgaria,Transport aircraft,0,EU Member State,31.2802
Bulgaria,UAVs,0,EU Member State,31.2802
Italy,AV & Ground systems,0,EU Member State,31.2802
Italy,Air Defences,0,EU Member State,31.2802
Italy,Anti-armour,0,EU Member State,31.2802
Italy,"Bombs, Munitions & Projectiles",0,EU Member State,31.2802
Italy,C3 & Electronics,0,EU Member State,31.2802
Italy,Combat aircraft,0,EU Member State,31.2802
Italy,"Construction, Logistics & Services",0,EU Member State,31.2802
Italy,Helicopters,0,EU Member State,31.2802
Italy,Light weapons,0,EU Member State,31.2802
Italy,Missiles,0.512,EU Member State,31.2802
Italy,Naval systems,0,EU Member State,31.2802
Italy,Radars & sensors,0,EU Member State,31.2802
Italy,Rockets/Artillery,0,EU Member State,31.2802
Italy,Transport aircraft,0,EU Member State,31.2802
Italy,UAVs,0,EU Member State,31.2802
Romania,AV & Ground systems,0,EU Member State,31.2802
Romania,Air Defences,0.28,EU Member State,31.2802
Romania,Anti-armour,0,EU Member State,31.2802
Romania,"Bombs, Munitions & Projectiles",0.084,EU Member State,31.2802
Romania,C3 & Electronics,0,EU Member State,31.2802
Romania,Combat aircraft,0,EU Member State,31.2802
Romania,"Construction, Logistics & Services",0,EU Member State,31.2802
Romania,Helicopters,0,EU Member State,31.2802
Romania,Light weapons,0,EU Member State,31.2802
Romania,Missiles,0,EU Member State,31.2802
Romania,Naval systems,0,EU Member State,31.2802
Romania,Radars & sensors,0,EU Member State,31.2802
Romania,Rockets/Artillery,0,EU Member State,31.2802
Romania,Transport aircraft,0,EU Member State,31.2802
Romania,UAVs,0,EU Member State,31.2802
Singapore,AV & Ground systems,0,Non-European country,65.5709
Singapore,Air Defences,0,Non-European country,65.5709
Singapore,Anti-armour,0,Non-European country,65.5709
Singapore,"Bombs, Munitions & Projectiles",0,Non-European country,65.5709
Singapore,C3 & Electronics,0,Non-European country,65.5709
Singapore,Combat aircraft,0,Non-European country,65.5709
Singapore,"Construction, Logistics & Services",0.353,Non-European country,65.5709
Singapore,Helicopters,0,Non-European country,65.5709
Singapore,Light weapons,0,Non-European country,65.5709
Singapore,Missiles,0,Non-European country,65.5709
Singapore,Naval systems,0,Non-European country,65.5709
Singapore,Radars & sensors,0,Non-European country,65.5709
Singapore,Rockets/Artillery,0,Non-European country,65.5709
Singapore,Transport aircraft,0,Non-European country,65.5709
Singapore,UAVs,0,Non-European country,65.5709
Nigeria,AV & Ground systems,0,Non-European country,65.5709
Nigeria,Air Defences,0,Non-European country,65.5709
Nigeria,Anti-armour,0,Non-European country,65.5709
Nigeria,"Bombs, Munitions & Projectiles",0.346,Non-European country,65.5709
Nigeria,C3 & Electronics,0,Non-European country,65.5709
Nigeria,Combat aircraft,0,Non-European country,65.5709
Nigeria,"Construction, Logistics & Services",0,Non-European country,65.5709
Nigeria,Helicopters,0,Non-European country,65.5709
Nigeria,Light weapons,0,Non-European country,65.5709
Nigeria,Missiles,0,Non-European country,65.5709
Nigeria,Naval systems,0,Non-European country,65.5709
Nigeria,Radars & sensors,0,Non-European country,65.5709
Nigeria,Rockets/Artillery,0,Non-European country,65.5709
Nigeria,Transport aircraft,0,Non-European country,65.5709
Nigeria,UAVs,0,Non-European country,65.5709
Türkiye,AV & Ground systems,0,Other European country,7.3762
Türkiye,Air Defences,0,Other European country,7.3762
Türkiye,Anti-armour,0,Other European country,7.3762
Türkiye,"Bombs, Munitions & Projectiles",0,Other European country,7.3762
Türkiye,C3 & Electronics,0,Other European country,7.3762
Türkiye,Combat aircraft,0,Other European country,7.3762
Türkiye,"Construction, Logistics & Services",0,Other European country,7.3762
Türkiye,Helicopters,0,Other European country,7.3762
Türkiye,Light weapons,0,Other European country,7.3762
Türkiye,Missiles,0.30410000000000004,Other European country,7.3762
Türkiye,Naval systems,0,Other European country,7.3762
Türkiye,Radars & sensors,0,Other European country,7.3762
Türkiye,Rockets/Artillery,0,Other European country,7.3762
Türkiye,Transport aircraft,0,Other European country,7.3762
Türkiye,UAVs,0,Other European country,7.3762
Estonia,AV & Ground systems,0,EU Member State,31.2802
Estonia,Air Defences,0,EU Member State,31.2802
Estonia,Anti-armour,0.296,EU Member State,31.2802
Estonia,"Bombs, Munitions & Projectiles",0,EU Member State,31.2802
Estonia,C3 & Electronics,0,EU Member State,31.2802
Estonia,Combat aircraft,0,EU Member State,31.2802
Estonia,"Construction, Logistics & Services",0,EU Member State,31.2802
Estonia,Helicopters,0,EU Member State,31.2802
Estonia,Light weapons,0,EU Member State,31.2802
Estonia,Missiles,0,EU Member State,31.2802
Estonia,Naval systems,0,EU Member State,31.2802
Estonia,Radars & sensors,0,EU Member State,31.2802
Estonia,Rockets/Artillery,0,EU Member State,31.2802
Estonia,Transport aircraft,0,EU Member State,31.2802
Estonia,UAVs,0,EU Member State,31.2802
NATO,AV & Ground systems,0,Other European country,7.3762
NATO,Air Defences,0,Other European country,7.3762
NATO,Anti-armour,0,Other European country,7.3762
NATO,"Bombs, Munitions & Projectiles",0,Other European country,7.3762
NATO,C3 & Electronics,0,Other European country,7.3762
NATO,Combat aircraft,0,Other European country,7.3762
NATO,"Construction, Logistics & Services",0,Other European country,7.3762
NATO,Helicopters,0,Other European country,7.3762
NATO,Light weapons,0.1361,Other European country,7.3762
NATO,Missiles,0.1039,Other European country,7.3762
NATO,Naval systems,0,Other European country,7.3762
NATO,Radars & sensors,0,Other European country,7.3762
NATO,Rockets/Artillery,0,Other European country,7.3762
NATO,Transport aircraft,0,Other European country,7.3762
